armor_id,armor_box_name,armor_name,armor_piece_location,armor_type,armor_tier,armor_damage_resistence,armor_weight,armor_price,armor_hit_points,armor_description
ARMOR-000,Capuz | Comum,Capuz,Cabeça,Leve,Comum,2,1.50,100,10,"
- Capuz de tecido grosso ou couro leve, às vezes acolchoado. Oferece proteção básica contra impactos leves e cortes superficiais sem restringir a visão ou a audição."
ARMOR-001,Capuz | Boa,Capuz,Cabeça,Leve,Boa,3,1.40,200,15,"
- Capuz de tecido grosso ou couro leve, às vezes acolchoado. Oferece proteção básica contra impactos leves e cortes superficiais sem restringir a visão ou a audição."
ARMOR-002,Capuz | Superior,Capuz,Cabeça,Leve,Superior,4,1.30,400,20,"
- Capuz de tecido grosso ou couro leve, às vezes acolchoado. Oferece proteção básica contra impactos leves e cortes superficiais sem restringir a visão ou a audição."
ARMOR-003,Capuz | Excelente,Capuz,Cabeça,Leve,Excelente,5,1.20,800,25,"
- Capuz de tecido grosso ou couro leve, às vezes acolchoado. Oferece proteção básica contra impactos leves e cortes superficiais sem restringir a visão ou a audição."
ARMOR-004,Capuz | Obra-Prima,Capuz,Cabeça,Leve,Obra-Prima,6,1.10,1600,30,"
- Capuz de tecido grosso ou couro leve, às vezes acolchoado. Oferece proteção básica contra impactos leves e cortes superficiais sem restringir a visão ou a audição."
ARMOR-005,Capacete | Comum,Capacete,Cabeça,Média,Comum,4,2.50,200,20,"
- Capacete metálico simples que protege o topo e as laterais da cabeça. Equilibra boa proteção com mobilidade e visibilidade adequadas para combate."
ARMOR-006,Capacete | Boa,Capacete,Cabeça,Média,Boa,5,2.40,400,25,"
- Capacete metálico simples que protege o topo e as laterais da cabeça. Equilibra boa proteção com mobilidade e visibilidade adequadas para combate."
ARMOR-007,Capacete | Superior,Capacete,Cabeça,Média,Superior,6,2.30,800,30,"
- Capacete metálico simples que protege o topo e as laterais da cabeça. Equilibra boa proteção com mobilidade e visibilidade adequadas para combate."
ARMOR-008,Capacete | Excelente,Capacete,Cabeça,Média,Excelente,7,2.20,1600,35,"
- Capacete metálico simples que protege o topo e as laterais da cabeça. Equilibra boa proteção com mobilidade e visibilidade adequadas para combate."
ARMOR-009,Capacete | Obra-Prima,Capacete,Cabeça,Média,Obra-Prima,8,2.10,3200,40,"
- Capacete metálico simples que protege o topo e as laterais da cabeça. Equilibra boa proteção com mobilidade e visibilidade adequadas para combate."
ARMOR-010,Elmo | Comum,Elmo,Cabeça,Pesada,Comum,6,5.00,400,30,"
- Elmo de metal completo que envolve quase toda a cabeça, frequentemente com viseira ou proteção facial. Proporciona excelente defesa contra golpes, porém é mais pesado e restritivo."
ARMOR-011,Elmo | Boa,Elmo,Cabeça,Pesada,Boa,7,4.80,800,35,"
- Elmo de metal completo que envolve quase toda a cabeça, frequentemente com viseira ou proteção facial. Proporciona excelente defesa contra golpes, porém é mais pesado e restritivo."
ARMOR-012,Elmo | Superior,Elmo,Cabeça,Pesada,Superior,8,4.60,1600,40,"
- Elmo de metal completo que envolve quase toda a cabeça, frequentemente com viseira ou proteção facial. Proporciona excelente defesa contra golpes, porém é mais pesado e restritivo."
ARMOR-013,Elmo | Excelente,Elmo,Cabeça,Pesada,Excelente,9,4.40,3200,45,"
- Elmo de metal completo que envolve quase toda a cabeça, frequentemente com viseira ou proteção facial. Proporciona excelente defesa contra golpes, porém é mais pesado e restritivo."
ARMOR-014,Elmo | Obra-Prima,Elmo,Cabeça,Pesada,Obra-Prima,10,4.20,6400,50,"
- Elmo de metal completo que envolve quase toda a cabeça, frequentemente com viseira ou proteção facial. Proporciona excelente defesa contra golpes, porém é mais pesado e restritivo."
ARMOR-015,Gibão | Comum,Gibão,Tronco,Leve,Comum,3,5.00,400,50,"
- Armadura de tecido espesso com várias camadas de acolchoamento. Absorve impactos e oferece proteção razoável contra cortes leves, sendo confortável e flexível."
ARMOR-016,Gibão | Boa,Gibão,Tronco,Leve,Boa,4,4.80,800,60,"
- Armadura de tecido espesso com várias camadas de acolchoamento. Absorve impactos e oferece proteção razoável contra cortes leves, sendo confortável e flexível."
ARMOR-017,Gibão | Superior,Gibão,Tronco,Leve,Superior,5,4.60,1600,70,"
- Armadura de tecido espesso com várias camadas de acolchoamento. Absorve impactos e oferece proteção razoável contra cortes leves, sendo confortável e flexível."
ARMOR-018,Gibão | Excelente,Gibão,Tronco,Leve,Excelente,6,4.40,3200,80,"
- Armadura de tecido espesso com várias camadas de acolchoamento. Absorve impactos e oferece proteção razoável contra cortes leves, sendo confortável e flexível."
ARMOR-019,Gibão | Obra-Prima,Gibão,Tronco,Leve,Obra-Prima,7,4.20,6400,90,"
- Armadura de tecido espesso com várias camadas de acolchoamento. Absorve impactos e oferece proteção razoável contra cortes leves, sendo confortável e flexível."
ARMOR-020,Cota de Malha | Comum,Cota de Malha,Tronco,Média,Comum,5,8.00,800,60,"
- Malha composta por milhares de anéis metálicos entrelaçados. Muito eficiente contra cortes e razoavelmente resistente a golpes, embora mais pesada."
ARMOR-021,Cota de Malha | Boa,Cota de Malha,Tronco,Média,Boa,7,8.90,1600,70,"
- Malha composta por milhares de anéis metálicos entrelaçados. Muito eficiente contra cortes e razoavelmente resistente a golpes, embora mais pesada."
ARMOR-022,Cota de Malha | Superior,Cota de Malha,Tronco,Média,Superior,9,8.80,3200,80,"
- Malha composta por milhares de anéis metálicos entrelaçados. Muito eficiente contra cortes e razoavelmente resistente a golpes, embora mais pesada."
ARMOR-023,Cota de Malha | Excelente,Cota de Malha,Tronco,Média,Excelente,11,8.70,6400,90,"
- Malha composta por milhares de anéis metálicos entrelaçados. Muito eficiente contra cortes e razoavelmente resistente a golpes, embora mais pesada."
ARMOR-024,Cota de Malha | Obra-Prima,Cota de Malha,Tronco,Média,Obra-Prima,13,8.60,12800,100,"
- Malha composta por milhares de anéis metálicos entrelaçados. Muito eficiente contra cortes e razoavelmente resistente a golpes, embora mais pesada."
ARMOR-025,Couraça de Placa | Comum,Couraça de Placa,Tronco,Pesada,Comum,12,12.00,1600,80,"
- Placas rígidas de metal moldadas para proteger o peito e as costas. Oferece alta proteção contra ataques físicos, sendo típica de guerreiros fortemente armadurados."
ARMOR-026,Couraça de Placa | Boa,Couraça de Placa,Tronco,Pesada,Boa,14,11.80,3200,90,"
- Placas rígidas de metal moldadas para proteger o peito e as costas. Oferece alta proteção contra ataques físicos, sendo típica de guerreiros fortemente armadurados."
ARMOR-027,Couraça de Placa | Superior,Couraça de Placa,Tronco,Pesada,Superior,16,11.60,6400,100,"
- Placas rígidas de metal moldadas para proteger o peito e as costas. Oferece alta proteção contra ataques físicos, sendo típica de guerreiros fortemente armadurados."
ARMOR-028,Couraça de Placa | Excelente,Couraça de Placa,Tronco,Pesada,Excelente,18,11.40,12800,110,"
- Placas rígidas de metal moldadas para proteger o peito e as costas. Oferece alta proteção contra ataques físicos, sendo típica de guerreiros fortemente armadurados."
ARMOR-029,Couraça de Placa | Obra-Prima,Couraça de Placa,Tronco,Pesada,Obra-Prima,20,11.20,25600,120,"
- Placas rígidas de metal moldadas para proteger o peito e as costas. Oferece alta proteção contra ataques físicos, sendo típica de guerreiros fortemente armadurados."
ARMOR-030,Mangas Acolchoadas | Comum,Mangas Acolchoadas,Braços,Leve,Comum,2,1.50,200,15,"
- Proteções de tecido grosso ou couro flexível que cobrem os braços. Oferecem leve absorção de impacto sem prejudicar a mobilidade."
ARMOR-031,Mangas Acolchoadas | Boa,Mangas Acolchoadas,Braços,Leve,Boa,3,1.40,400,30,"
- Proteções de tecido grosso ou couro flexível que cobrem os braços. Oferecem leve absorção de impacto sem prejudicar a mobilidade."
ARMOR-032,Mangas Acolchoadas | Superior,Mangas Acolchoadas,Braços,Leve,Superior,4,1.30,800,45,"
- Proteções de tecido grosso ou couro flexível que cobrem os braços. Oferecem leve absorção de impacto sem prejudicar a mobilidade."
ARMOR-033,Mangas Acolchoadas | Excelente,Mangas Acolchoadas,Braços,Leve,Excelente,5,1.20,1600,60,"
- Proteções de tecido grosso ou couro flexível que cobrem os braços. Oferecem leve absorção de impacto sem prejudicar a mobilidade."
ARMOR-034,Mangas Acolchoadas | Obra-Prima,Mangas Acolchoadas,Braços,Leve,Obra-Prima,6,1.10,3200,75,"
- Proteções de tecido grosso ou couro flexível que cobrem os braços. Oferecem leve absorção de impacto sem prejudicar a mobilidade."
ARMOR-035,Braçadeiras | Comum,Braçadeiras,Braços,Média,Comum,4,2.50,400,45,"
- Peças metálicas que protegem antebraços e parte do braço superior. Defendem contra golpes diretos mantendo boa liberdade de movimento."
ARMOR-036,Braçadeiras | Boa,Braçadeiras,Braços,Média,Boa,5,2.40,800,60,"
- Peças metálicas que protegem antebraços e parte do braço superior. Defendem contra golpes diretos mantendo boa liberdade de movimento."
ARMOR-037,Braçadeiras | Superior,Braçadeiras,Braços,Média,Superior,6,2.30,1600,75,"
- Peças metálicas que protegem antebraços e parte do braço superior. Defendem contra golpes diretos mantendo boa liberdade de movimento."
ARMOR-038,Braçadeiras | Excelente,Braçadeiras,Braços,Média,Excelente,7,2.20,3200,90,"
- Peças metálicas que protegem antebraços e parte do braço superior. Defendem contra golpes diretos mantendo boa liberdade de movimento."
ARMOR-039,Braçadeiras | Obra-Prima,Braçadeiras,Braços,Média,Obra-Prima,8,2.10,6400,105,"
- Peças metálicas que protegem antebraços e parte do braço superior. Defendem contra golpes diretos mantendo boa liberdade de movimento."
ARMOR-040,Braçais de Placa | Comum,Braçais de Placa,Braços,Pesada,Comum,6,5.00,800,75,"
- Segmentos articulados de metal que cobrem quase todo o braço. Oferecem proteção sólida contra cortes e impactos."
ARMOR-041,Braçais de Placa | Boa,Braçais de Placa,Braços,Pesada,Boa,7,4.80,1600,90,"
- Segmentos articulados de metal que cobrem quase todo o braço. Oferecem proteção sólida contra cortes e impactos."
ARMOR-042,Braçais de Placa | Superior,Braçais de Placa,Braços,Pesada,Superior,8,4.60,3200,105,"
- Segmentos articulados de metal que cobrem quase todo o braço. Oferecem proteção sólida contra cortes e impactos."
ARMOR-043,Braçais de Placa | Excelente,Braçais de Placa,Braços,Pesada,Excelente,9,4.40,6400,120,"
- Segmentos articulados de metal que cobrem quase todo o braço. Oferecem proteção sólida contra cortes e impactos."
ARMOR-044,Braçais de Placa | Obra-Prima,Braçais de Placa,Braços,Pesada,Obra-Prima,10,4.20,12800,135,"
- Segmentos articulados de metal que cobrem quase todo o braço. Oferecem proteção sólida contra cortes e impactos."
ARMOR-045,Luvas | Comum,Luvas,Mãos,Leve,Comum,1,1.50,100,10,"
- Luvas reforçadas de couro grosso que protegem as mãos contra cortes leves e abrasões, mantendo destreza total."
ARMOR-046,Luvas | Boa,Luvas,Mãos,Leve,Boa,2,1.40,200,15,"
- Luvas reforçadas de couro grosso que protegem as mãos contra cortes leves e abrasões, mantendo destreza total."
ARMOR-047,Luvas | Superior,Luvas,Mãos,Leve,Superior,3,1.30,400,20,"
- Luvas reforçadas de couro grosso que protegem as mãos contra cortes leves e abrasões, mantendo destreza total."
ARMOR-048,Luvas | Excelente,Luvas,Mãos,Leve,Excelente,4,1.20,800,25,"
- Luvas reforçadas de couro grosso que protegem as mãos contra cortes leves e abrasões, mantendo destreza total."
ARMOR-049,Luvas | Obra-Prima,Luvas,Mãos,Leve,Obra-Prima,5,1.10,1000,30,"
- Luvas reforçadas de couro grosso que protegem as mãos contra cortes leves e abrasões, mantendo destreza total."
ARMOR-050,Manoplas de Malha | Comum,Manoplas de Malha,Mãos,Média,Comum,2,2.50,200,20,"
- Luvas feitas com malha metálica flexível, oferecendo boa proteção contra cortes enquanto ainda permitem manipular armas e objetos."
ARMOR-051,Manoplas de Malha | Boa,Manoplas de Malha,Mãos,Média,Boa,3,2.40,400,25,"
- Luvas feitas com malha metálica flexível, oferecendo boa proteção contra cortes enquanto ainda permitem manipular armas e objetos."
ARMOR-052,Manoplas de Malha | Superior,Manoplas de Malha,Mãos,Média,Superior,4,2.30,800,30,"
- Luvas feitas com malha metálica flexível, oferecendo boa proteção contra cortes enquanto ainda permitem manipular armas e objetos."
ARMOR-053,Manoplas de Malha | Excelente,Manoplas de Malha,Mãos,Média,Excelente,5,2.20,1600,35,"
- Luvas feitas com malha metálica flexível, oferecendo boa proteção contra cortes enquanto ainda permitem manipular armas e objetos."
ARMOR-054,Manoplas de Malha | Obra-Prima,Manoplas de Malha,Mãos,Média,Obra-Prima,6,2.10,3200,40,"
- Luvas feitas com malha metálica flexível, oferecendo boa proteção contra cortes enquanto ainda permitem manipular armas e objetos."
ARMOR-055,Manoplas de placa | Comum,Manoplas de placa,Mãos,Pesada,Comum,4,5.00,400,30,"
- Luvas metálicas articuladas compostas por placas sobrepostas. Garantem forte proteção aos dedos e mãos, mas são mais pesadas."
ARMOR-056,Manoplas de placa | Boa,Manoplas de placa,Mãos,Pesada,Boa,5,4.80,800,35,"
- Luvas metálicas articuladas compostas por placas sobrepostas. Garantem forte proteção aos dedos e mãos, mas são mais pesadas."
ARMOR-057,Manoplas de placa | Superior,Manoplas de placa,Mãos,Pesada,Superior,6,4.60,1600,40,"
- Luvas metálicas articuladas compostas por placas sobrepostas. Garantem forte proteção aos dedos e mãos, mas são mais pesadas."
ARMOR-058,Manoplas de placa | Excelente,Manoplas de placa,Mãos,Pesada,Excelente,7,4.40,3200,45,"
- Luvas metálicas articuladas compostas por placas sobrepostas. Garantem forte proteção aos dedos e mãos, mas são mais pesadas."
ARMOR-059,Manoplas de placa | Obra-Prima,Manoplas de placa,Mãos,Pesada,Obra-Prima,8,4.20,6400,50,"
- Luvas metálicas articuladas compostas por placas sobrepostas. Garantem forte proteção aos dedos e mãos, mas são mais pesadas."
ARMOR-060,Calças Acolchoadas | Comum,Calças Acolchoadas,Pernas,Leve,Comum,2,1.50,200,15,"
- Calças reforçadas com acolchoamento interno que ajudam a amortecer impactos leves e reduzir danos de cortes superficiais."
ARMOR-061,Calças Acolchoadas | Boa,Calças Acolchoadas,Pernas,Leve,Boa,3,1.40,400,30,"
- Calças reforçadas com acolchoamento interno que ajudam a amortecer impactos leves e reduzir danos de cortes superficiais."
ARMOR-062,Calças Acolchoadas | Superior,Calças Acolchoadas,Pernas,Leve,Superior,4,1.30,800,45,"
- Calças reforçadas com acolchoamento interno que ajudam a amortecer impactos leves e reduzir danos de cortes superficiais."
ARMOR-063,Calças Acolchoadas | Excelente,Calças Acolchoadas,Pernas,Leve,Excelente,5,1.20,1600,60,"
- Calças reforçadas com acolchoamento interno que ajudam a amortecer impactos leves e reduzir danos de cortes superficiais."
ARMOR-064,Calças Acolchoadas | Obra-Prima,Calças Acolchoadas,Pernas,Leve,Obra-Prima,6,1.10,3200,75,"
- Calças reforçadas com acolchoamento interno que ajudam a amortecer impactos leves e reduzir danos de cortes superficiais."
ARMOR-065,Grevas de Malha | Comum,Grevas de Malha,Pernas,Média,Comum,4,2.50,400,45,"
- Proteção de malha metálica que cobre pernas e coxas, oferecendo boa defesa contra ataques cortantes."
ARMOR-066,Grevas de Malha | Boa,Grevas de Malha,Pernas,Média,Boa,5,2.40,800,60,"
- Proteção de malha metálica que cobre pernas e coxas, oferecendo boa defesa contra ataques cortantes."
ARMOR-067,Grevas de Malha | Superior,Grevas de Malha,Pernas,Média,Superior,6,2.30,1600,75,"
- Proteção de malha metálica que cobre pernas e coxas, oferecendo boa defesa contra ataques cortantes."
ARMOR-068,Grevas de Malha | Excelente,Grevas de Malha,Pernas,Média,Excelente,7,2.20,3200,90,"
- Proteção de malha metálica que cobre pernas e coxas, oferecendo boa defesa contra ataques cortantes."
ARMOR-069,Grevas de Malha | Obra-Prima,Grevas de Malha,Pernas,Média,Obra-Prima,8,2.10,6400,105,"
- Proteção de malha metálica que cobre pernas e coxas, oferecendo boa defesa contra ataques cortantes."
ARMOR-070,Grevas de Placa | Comum,Grevas de Placa,Pernas,Pesada,Comum,6,5.00,800,75,"
- Placas rígidas de metal que cobrem canelas e parte das pernas. Proporcionam excelente proteção contra golpes diretos."
ARMOR-071,Grevas de Placa | Boa,Grevas de Placa,Pernas,Pesada,Boa,7,4.80,1600,90,"
- Placas rígidas de metal que cobrem canelas e parte das pernas. Proporcionam excelente proteção contra golpes diretos."
ARMOR-072,Grevas de Placa | Superior,Grevas de Placa,Pernas,Pesada,Superior,8,4.60,3200,105,"
- Placas rígidas de metal que cobrem canelas e parte das pernas. Proporcionam excelente proteção contra golpes diretos."
ARMOR-073,Grevas de Placa | Excelente,Grevas de Placa,Pernas,Pesada,Excelente,9,4.40,6400,120,"
- Placas rígidas de metal que cobrem canelas e parte das pernas. Proporcionam excelente proteção contra golpes diretos."
ARMOR-074,Grevas de Placa | Obra-Prima,Grevas de Placa,Pernas,Pesada,Obra-Prima,10,4.20,12800,135,"
- Placas rígidas de metal que cobrem canelas e parte das pernas. Proporcionam excelente proteção contra golpes diretos."
ARMOR-075,Botas | Comum,Botas,Pés,Leve,Comum,1,1.50,100,10,"
- Botas resistentes de couro grosso que protegem os pés durante longas marchas e oferecem leve proteção em combate."
ARMOR-076,Botas | Boa,Botas,Pés,Leve,Boa,2,1.40,200,15,"
- Botas resistentes de couro grosso que protegem os pés durante longas marchas e oferecem leve proteção em combate."
ARMOR-077,Botas | Superior,Botas,Pés,Leve,Superior,3,1.30,400,20,"
- Botas resistentes de couro grosso que protegem os pés durante longas marchas e oferecem leve proteção em combate."
ARMOR-078,Botas | Excelente,Botas,Pés,Leve,Excelente,4,1.20,800,25,"
- Botas resistentes de couro grosso que protegem os pés durante longas marchas e oferecem leve proteção em combate."
ARMOR-079,Botas | Obra-Prima,Botas,Pés,Leve,Obra-Prima,5,1.10,1000,30,"
- Botas resistentes de couro grosso que protegem os pés durante longas marchas e oferecem leve proteção em combate."
ARMOR-080,Botas Reforçadas | Comum,Botas Reforçadas,Pés,Média,Comum,2,2.50,200,20,"
- Botas com reforços metálicos ou camadas extras de couro rígido, oferecendo maior proteção sem comprometer totalmente a mobilidade."
ARMOR-081,Botas Reforçadas | Boa,Botas Reforçadas,Pés,Média,Boa,3,2.40,400,25,"
- Botas com reforços metálicos ou camadas extras de couro rígido, oferecendo maior proteção sem comprometer totalmente a mobilidade."
ARMOR-082,Botas Reforçadas | Superior,Botas Reforçadas,Pés,Média,Superior,4,2.30,800,30,"
- Botas com reforços metálicos ou camadas extras de couro rígido, oferecendo maior proteção sem comprometer totalmente a mobilidade."
ARMOR-083,Botas Reforçadas | Excelente,Botas Reforçadas,Pés,Média,Excelente,5,2.20,1600,35,"
- Botas com reforços metálicos ou camadas extras de couro rígido, oferecendo maior proteção sem comprometer totalmente a mobilidade."
ARMOR-084,Botas Reforçadas | Obra-Prima,Botas Reforçadas,Pés,Média,Obra-Prima,6,2.10,3200,40,"
- Botas com reforços metálicos ou camadas extras de couro rígido, oferecendo maior proteção sem comprometer totalmente a mobilidade."
ARMOR-085,Sabatões de Placa | Comum,Sabatões de Placa,Pés,Pesada,Comum,4,5.00,400,30,"
- Armaduras metálicas articuladas que cobrem completamente os pés. Fornecem máxima proteção contra impactos e esmagamentos."
ARMOR-086,Sabatões de Placa | Boa,Sabatões de Placa,Pés,Pesada,Boa,5,4.80,800,35,"
- Armaduras metálicas articuladas que cobrem completamente os pés. Fornecem máxima proteção contra impactos e esmagamentos."
ARMOR-087,Sabatões de Placa | Superior,Sabatões de Placa,Pés,Pesada,Superior,6,4.60,1600,40,"
- Armaduras metálicas articuladas que cobrem completamente os pés. Fornecem máxima proteção contra impactos e esmagamentos."
ARMOR-088,Sabatões de Placa | Excelente,Sabatões de Placa,Pés,Pesada,Excelente,7,4.40,3200,45,"
- Armaduras metálicas articuladas que cobrem completamente os pés. Fornecem máxima proteção contra impactos e esmagamentos."
ARMOR-089,Sabatões de Placa | Obra-Prima,Sabatões de Placa,Pés,Pesada,Obra-Prima,8,4.20,6400,50,"
- Armaduras metálicas articuladas que cobrem completamente os pés. Fornecem máxima proteção contra impactos e esmagamentos."