shield_id,shield_box_name,shield_name,shield_type,shield_tier,shield_gdp_modifier,shield_damage_resistence,shield_hit_points,shield_weight,shield_price,shield_description
SHIELD-000,Broquel | Comum,Broquel,Leve,Comum,0,5,50,3,100,"O broquel é um pequeno escudo circular, leve e feito geralmente de metal (aço/ferro) ou madeira revestida, muito utilizado na Europa entre os séculos XII e XVII. Empunhado com uma alça central, era ágil e eficaz para combates corpo a corpo (frequentemente com espadas de uma mão) e proteção pessoal."
SHIELD-001,Broquel | Boa,Broquel,Leve,Boa,0,6,60,2.8,200,"O broquel é um pequeno escudo circular, leve e feito geralmente de metal (aço/ferro) ou madeira revestida, muito utilizado na Europa entre os séculos XII e XVII. Empunhado com uma alça central, era ágil e eficaz para combates corpo a corpo (frequentemente com espadas de uma mão) e proteção pessoal."
SHIELD-002,Broquel | Superior,Broquel,Leve,Superior,1,7,70,2.6,400,"O broquel é um pequeno escudo circular, leve e feito geralmente de metal (aço/ferro) ou madeira revestida, muito utilizado na Europa entre os séculos XII e XVII. Empunhado com uma alça central, era ágil e eficaz para combates corpo a corpo (frequentemente com espadas de uma mão) e proteção pessoal."
SHIELD-003,Broquel | Excelente,Broquel,Leve,Excelente,1,8,80,2.4,800,"O broquel é um pequeno escudo circular, leve e feito geralmente de metal (aço/ferro) ou madeira revestida, muito utilizado na Europa entre os séculos XII e XVII. Empunhado com uma alça central, era ágil e eficaz para combates corpo a corpo (frequentemente com espadas de uma mão) e proteção pessoal."
SHIELD-004,Broquel | Obra-Prima,Broquel,Leve,Obra-Prima,2,9,90,2.4,1600,"O broquel é um pequeno escudo circular, leve e feito geralmente de metal (aço/ferro) ou madeira revestida, muito utilizado na Europa entre os séculos XII e XVII. Empunhado com uma alça central, era ágil e eficaz para combates corpo a corpo (frequentemente com espadas de uma mão) e proteção pessoal."
SHIELD-005,Escudo | Comum,Escudo,Médio,Comum,2,7,70,7,200,Instrumento de defesa pessoal usado em combate para bloquear ataques. Podendo ter diversas formas e ser fabricado dos mais diversos materiais.
SHIELD-006,Escudo | Boa,Escudo,Médio,Boa,2,8,80,6.8,400,Instrumento de defesa pessoal usado em combate para bloquear ataques. Podendo ter diversas formas e ser fabricado dos mais diversos materiais.
SHIELD-007,Escudo | Superior,Escudo,Médio,Superior,3,9,90,6.6,800,Instrumento de defesa pessoal usado em combate para bloquear ataques. Podendo ter diversas formas e ser fabricado dos mais diversos materiais.
SHIELD-008,Escudo | Excelente,Escudo,Médio,Excelente,3,10,100,6.4,1600,Instrumento de defesa pessoal usado em combate para bloquear ataques. Podendo ter diversas formas e ser fabricado dos mais diversos materiais.
SHIELD-009,Escudo | Obra-Prima,Escudo,Médio,Obra-Prima,4,11,110,6.2,3200,Instrumento de defesa pessoal usado em combate para bloquear ataques. Podendo ter diversas formas e ser fabricado dos mais diversos materiais.
SHIELD-010,Escudo Torre | Comum,Escudo Torre,Pesado,Comum,4,9,90,12,800,"Um escudo torre é um escudo grande, geralmente retangular, que cobre todo o corpo e foi projetado para oferecer máxima proteção, estendendo-se do ombro ao joelho ou ao pé. Normalmente feito de madeira, metal ou reforçado com couro, oferece defesa superior contra flechas e armas brancas, mas é pesado, volumoso e geralmente restringe a mobilidade."
SHIELD-011,Escudo Torre | Boa,Escudo Torre,Pesado,Boa,4,10,100,11.8,1600,"Um escudo torre é um escudo grande, geralmente retangular, que cobre todo o corpo e foi projetado para oferecer máxima proteção, estendendo-se do ombro ao joelho ou ao pé. Normalmente feito de madeira, metal ou reforçado com couro, oferece defesa superior contra flechas e armas brancas, mas é pesado, volumoso e geralmente restringe a mobilidade."
SHIELD-012,Escudo Torre | Superior,Escudo Torre,Pesado,Superior,5,11,110,11.6,3200,"Um escudo torre é um escudo grande, geralmente retangular, que cobre todo o corpo e foi projetado para oferecer máxima proteção, estendendo-se do ombro ao joelho ou ao pé. Normalmente feito de madeira, metal ou reforçado com couro, oferece defesa superior contra flechas e armas brancas, mas é pesado, volumoso e geralmente restringe a mobilidade."
SHIELD-013,Escudo Torre | Excelente,Escudo Torre,Pesado,Excelente,5,12,120,11.4,6400,"Um escudo torre é um escudo grande, geralmente retangular, que cobre todo o corpo e foi projetado para oferecer máxima proteção, estendendo-se do ombro ao joelho ou ao pé. Normalmente feito de madeira, metal ou reforçado com couro, oferece defesa superior contra flechas e armas brancas, mas é pesado, volumoso e geralmente restringe a mobilidade."
SHIELD-014,Escudo Torre | Obra-Prima,Escudo Torre,Pesado,Obra-Prima,6,13,130,11.2,12800,"Um escudo torre é um escudo grande, geralmente retangular, que cobre todo o corpo e foi projetado para oferecer máxima proteção, estendendo-se do ombro ao joelho ou ao pé. Normalmente feito de madeira, metal ou reforçado com couro, oferece defesa superior contra flechas e armas brancas, mas é pesado, volumoso e geralmente restringe a mobilidade."